"uuid","Fcilty_nam","Street_add","Locality","Postcode","Phone","Website","cat1","cat2","cat3","cat4","cat5","cat6","cat7","cat8","Xcoord","Ycoord","Buy_Online"
"1","A & A Industrial Supplies Pty Ltd","17 LONDON DRIVE","BAYSWATER","3153","0397629322","http://www.aaindustrial.com.au/","","","","","","","","1","145.283731","-37.845415",""
"2","Abrasiflex Pty Ltd","28 BRYANT STREET","PADSTOW","2211","0287085150","http://www.abrasiflex.com.au","","1","1","","","1","","","151.030305","-33.940814",""
"3","Abrasiflex Pty Ltd","14 BASTOW PLACE","MULGRAVE","3170","0395655100","http://www.abrasiflex.com.au","","1","1","","","1","","","145.151336","-37.923894",""
"4","Abrasiflex Pty Ltd","22 FRENCH AVENUE","BRENDALE","4500","0732937000","http://www.abrasiflex.com.au","","1","1","","","1","","","152.979896","-27.312635",""
"5","Abrasiflex Pty Ltd","232-234 COLLIER ROAD","BAYSWATER","6053","0892082000","http://www.abrasiflex.com.au","","1","1","","","1","","","115.921989","-31.905805",""
"6","Abrasiflex Pty Ltd","25 WING STREET","WINGFIELD","5013","0883457700","http://www.abrasiflex.com.au","","1","1","","","1","","","138.559049","-34.836780",""
"7","All Purpose Abrasives","8 MOUNT ERIN ROAD","CAMPBELLTOWN","2560","0246282800","http://www.allpurposeabrasives.com.au","","1","1","","","","","","150.802988","-34.058988",""
"8","Atom Supplies","1 CATO STREET","WINNELLIE","0830","0889427500","http://www.atom.com.au","","1","1","1","","","1","1","130.863497","-12.429033",""
"9","Atom Supplies","4 / 22 ASHOVER ROAD","ROCKLEA","4106","0731944200","http://www.atom.com.au","","1","1","1","","","1","1","153.009257","-27.558681",""
"10","Atom Supplies","13 MICHELMORE STREET","PAGET","4740","0748371300","http://www.atom.com.au","","1","1","1","","","1","1","149.167813","-21.178165",""
"11","Atom Supplies"," 55 JESSIE-LEE ST CNR ZEDORA TN","HENDERSON","6166","0894376588","http://www.atom.com.au","","1","1","1","","","1","1","115.782927","-32.150365",""
"12","Atom Supplies","63 KAYILI STREET","KALGOORLIE","6430","0890251400","http://www.atom.com.au","","1","1","1","","","1","1","121.432381","-30.785845",""
"13","Atom Supplies","Lot 2485 Pemberton Hwy","KARRATHA","6714","0891440800","http://www.atom.com.au","","1","1","1","","","1","1","116.880100","-20.767308",""
"14","Atom Supplies","63 ANDERSON STREET","GERALDTON","6530","0899643644","http://www.atom.com.au","","1","1","1","","","1","1","114.633397","-28.744028",""
"15","Australian Industrial Abrasive","UNIT 2 / 11 LAGANA PLACE","WETHERILL PARK","2164","1300551006","http://www.australianabrasives.com.au/","","1","","","","","","","150.888813","-33.850995",""
"16","Australian Industrial Abrasive","958 STUD ROAD","ROWVILLE","3178","1300551006","http://www.australianabrasives.com.au/","","1","","","","","","","145.235532","-37.910526",""
"17","Australian Industrial Abrasive","2-4 Union Circuit","YATALA","4207","1300551006","http://www.australianabrasives.com.au/","","1","","","","","","","153.225962","-27.747993",""
"18","Australian Industrial Abrasive","UNIT 5 53 BUSHLAND RIDGE","BIBRA LAKE","6163","1300551006","http://www.australianabrasives.com.au/","","1","","","","","","","115.811824","-32.106936",""
"19","Baker & Farrow Pty Ltd","5 GUERNSEY STREET","SANDGATE","2304","0249601222","http://www.bakfar.com.au/","","1","1","","","","","","151.711700","-32.875832","YES"
"20","Baker & Farrow Pty Ltd","15 GLEN MUNRO DRIVE","MUSWELLBROOK","2333","0265409777","http://www.bakfar.com.au/","","1","1","","","","","","150.885149","-32.312586","YES"
"21","Ballarat Saw Service","420 DOWLING STREET","WENDOUREE","3355","1800677344","http://www.bstgroup.com.au/","","1","","","","","","1","143.843837","-37.523873","YES"
"22","BJ Industrial Welding Supplies","UNIT 7A DANIEL STREET","CALOUNDRA","4551","0754372436","http://www.bjwelding.com.au/","","1","","","","","","","153.110165","-26.792548",""
"23","CDA Eastland Pty Ltd","UNIT 13, 1 RELIANCE DRIVE","TUGGERAH","2259","0243510315","http://www.cdaets.com.au","","","","","","","","1","151.420286","-33.312728","YES"
"24","CDA Eastland Pty Ltd","70-72 BROADMEADOW ROAD","BROADMEADOW","2292","0249692066","http://www.cdaets.com.au","","","","","","","","1","151.732522","-32.917902","YES"
"25","CDA Eastland Pty Ltd","28 JINDALEE ROAD","PORT MACQUARIE","2444","0265813181","http://www.cdaets.com.au","","","","","","","","1","152.885052","-31.451069","YES"
"26","CDA Eastland Pty Ltd","173 ORLANDO STREET","COFFS HARBOUR","2450","0266524022","http://www.cdaets.com.au","","","","","","","","1","153.129343","-30.287671","YES"
"27","CDA Eastland Pty Ltd","4/78 Eastern Road","Browns Plains","4118","0732737099","http://www.cdaets.com.au","","","","","","","","1","153.050732","-27.665131","YES"
"28","CDA Eastland Pty Ltd","5 CRISP AVENUE","GRAFTON","2460","0266435622","http://www.cdaets.com.au","","","","","","","","1","152.940682","-29.704746","YES"
"29","Cromwell Pty Ltd","LIDCOMBE BUSINESS PARK UNIT D4, 3-29 BIRNIE AVENUE","LIDCOMBE","2141","0293951000","http://www.cromwellpty.com.au/","","","","","","","","1","151.058413","-33.858947",""
"30","Cromwell Pty Ltd","1/11 LENSWORTH STREET","COOPERS PLAINS","4108","0733443448","http://www.cromwellpty.com.au/","","","","","","","","1","153.036917","-27.572532",""
"31","Express Industrial Supplies","50 GIBSON AVENUE","PADSTOW","2211","0287077000","http://expressindustrialsupplies.com/","","","","","","","","1","151.027568","-33.937707",""
"32","Express Industrial Supplies","CNR MANNS RD & YANDINA RDS","WEST GOSFORD","2250","0243259000","http://expressindustrialsupplies.com/","","","","","","","","1","151.320163","-33.419077",""
"33","Express Industrial Supplies","14 FITZGERALD ROAD","LAVERTON","3028","0243511850","http://expressindustrialsupplies.com/","","","","","","","","1","144.782957","-37.842243",""
"34","Express Industrial Supplies","292 SETTLEMENT ROAD","THOMASTOWN","3074","0394637000","http://expressindustrialsupplies.com/","","","","","","","","1","145.028718","-37.690226",""
"35","Fairview Architectural Pty Ltd","18-20 DONALD STREET","LITHGOW","2790","0263522355","http://www.fairviewarchitectural.com/home.html","","","","","","","1","","150.164502","-33.475056",""
"36","Milspec Services Pty Ltd","UNIT 3 / 99 SPENCER ROAD","CARRARA","4211","0755579700","http://www.milspecservices.com.au/","","","","","1","","","","153.345841","-28.009195",""
"37","MLB Paint Distributors","UNIT 5/ 211 BANNISTER ROAD","CANNING VALE","6155","0894557251","","1","","","","","","","","115.899756","-32.065264",""
"38","Network Building supplies","15 DAISY STREET","REVESBY","2212","0297719266","http://www.networkbuilding.com.au/","","","","","","","1","","151.008736","-33.936941","YES"
"39","Sumabrite Products Pty Ltd","5 EDINBURGH STREET","OAKLEIGH SOUTH","3167","0395435455","","","1","1","","","","","","145.109775","-37.914898",""
"40","Totalweld Sales & Service  Pty Ltd","23 MCCOURT ROAD","PALMERSTON","0830","0889324669","http://www.totalweld.com.au/","","1","","","","","","","130.994554","-12.473283",""
"41","Wasps (Welding Accessories & Supplies)","UNIT 3 CONCEPT PLACE 25 TRANSPORT AVENUE","PAGET/MACKAY","4740","0743526432","","","1","","","","","","","149.168108","-21.172186",""
"42","Waughs Industrial Supplies","13-17 MALVERN STREET","BAYSWATER","3153","0397201788","http://www.waughs.com.au","","","","","","","","1","145.272887","-37.842208",""
"43","Waughs Industrial Supplies","2F THISTLE STREET","BENDIGO","3550","0354414411","http://www.waughs.com.au","","","","","","","","1","144.267961","-36.769473",""
"44","Weber Abrasives Pty Ltd","122 FREDERICK STREET","WELLAND","5007","0883469571","http://www.abrasives.on.net/","","1","1","","","","","1","138.557533","-34.907246","YES"
"45","Whitworth's Marine & Leisure","81 Sandgate Road","Albion","4010","0732560311","https://www.whitworths.com.au/","","","","","","1","","","153.043484","-27.437757","YES"
"46","Whitworth's Marine & Leisure","55 Balaclava Street","Woolloongabba","4102","0738958300","https://www.whitworths.com.au/","","","","","","1","","","153.038793","-27.490631","YES"
"47","Whitworth's Marine & Leisure","Unit 12 "The Brickshed" Warehouse Road","Southport","4215","0755263811","https://www.whitworths.com.au/","","","","","","1","","","153.408973","-27.979594","YES"
"48","Whitworth's Marine & Leisure","Shop D 6 Nicklin Way","Minyama","4575","0754525466","https://www.whitworths.com.au/","","","","","","1","","","153.124438","-26.700766","YES"
"49","Whitworth's Marine & Leisure","Crn Cross & Dale Street","Brookvale","2100","0299391055","https://www.whitworths.com.au/","","","","","","1","","","151.268276","-33.765853","YES"
"50","Whitworth's Marine & Leisure","82 Darley Street","Mona Vale","2103","0299797053","https://www.whitworths.com.au/","","","","","","1","","","151.304750","-33.673711","YES"
"51","Whitworth's Marine & Leisure","138 Victoria Rd","Drummoyne","2047","0298186211","https://www.whitworths.com.au/","","","","","","1","","","151.156531","-33.852759","YES"
"52","Whitworth's Marine & Leisure","49 Alexander Street","Crows Nest","2065","0294363118","https://www.whitworths.com.au/","","","","","","1","","","151.202354","-33.827219","YES"
"53","Whitworth's Marine & Leisure","Crn President Ave & Willarong Road","Caringbah","2229","0295255777","https://www.whitworths.com.au/","","","","","","1","","","151.119368","-34.042603","YES"
"54","Whitworth's Marine & Leisure","Unit 5/ 31 Griffiths Road","Lambton","2299","0249522468","https://www.whitworths.com.au/","","","","","","1","","","151.723694","-32.914916","YES"
"55","Whitworth's Marine & Leisure","20 Derwant Park Road","Derwant Park","7009","0362720166","https://www.whitworths.com.au/","","","","","","1","","","147.293198","-42.839076","YES"
"56","Whitworth's Marine & Leisure","85 Vincent Street","Port Adelaide","5015","0882403777","https://www.whitworths.com.au/","","","","","","1","","","138.501354","-34.845054","YES"
"57","Whitworth's Marine & Leisure","Unit 8 634 Stirling Hwy","Mosman Park","6012","0893855877","https://www.whitworths.com.au/","","","","","","1","","","115.757665","-32.008078","YES"
"58","Whitworth's Marine & Leisure","33 Oxford Close","West Leederville","6007","0893811442","https://www.whitworths.com.au/","","","","","","1","","","115.841081","-31.941918","YES"
"59","Whitworth's Marine & Leisure","230 HARTLEY STREET(CORNER HARTLEY STREET & BROWN STREET)","BUNGALOW","4870","0740355933","https://www.whitworths.com.au/","","","","","","1","","","145.759738","-16.940775","YES"
"60","ABL Distribution Pty Ltd","11 HARRINGTON STREET  ","ARUNDEL","4214","1800984822","http://www.abldistribution.com.au/","","1","1","1","","","","1","153.368121","-27.931570","YES"
"61","Adept Solutions Pty Ltd","458 - 470 HIGH STREET SHIP 2 THE BOARDWALK","PENRITH","2750","1800008590","http://adept-industrial.com.au/","","","1","","","","","1","150.691047","-33.752178",""
"62","Armstrong Packaging Pty Ltd","55 LANGFORD STREET","POORAKA","5095","0883596422","http://www.armpack.com.au/","","1","1","1","","","","1","138.629740","-34.816304",""
"63","ATA Distributors Pty Ltd","DOOR NO.3 / ROSS STREET CNR.538 WILLIAMSTOWN ROAD","PORT MELBOURNE","3207","0396468000","http://www.cpsupplies.com.au/","","1","1","1","","","","1","144.942929","-37.831828","YES"
"64","Aviall Australia Pty Ltd","BUILDING 111, DITCHMAN AVE ARCHERFIELD AIRPORT","ARCHERFIELD","4108","0732778322","www.aviall.com","","","","","1","","","","153.013689","-27.572470",""
"65","Aviall Australia Pty Ltd","11 / 450 SHERIDAN STREET","CAIRNS","4870","0740324677","www.aviall.com","","","","","1","","","","145.755074","-16.897115",""
"66","Aviall Australia Pty Ltd","453 AIRPORT AVE","BANKSTOWN AIRPORT","2200","0297910511","www.aviall.com","","","","","1","","","","150.991910","-33.917181",""
"67","Aviall Australia Pty Ltd","11 Eagle Drive","Janakot Airport","6164","0893328858","www.aviall.com","","","","","1","","","","115.878341","-32.094831",""
"68","Aviall Australia Pty Ltd","Unit 9/48 Shearson Cresent","Moorabbin","3194","0393393000","www.aviall.com","","","","","1","","","","145.084843","-37.976929",""
"69","Aviall Australia Pty Ltd","20-22 LINDAWAY PLACE","TULLAMARINE","3043","0393383000","www.aviall.com","","","","","1","","","","144.887958","-37.702806",""
"70","Cameleon Coatings","26 PARAMOUNT DRIVE","WANGARA","6065","0893022577","http://www.cameleon.com.au/","","1","","","","","1","","115.831156","-31.791372",""
"71","Embossing & Tape Supplies","16 / 22 - 28 KAREENA ROAD","MIRANDA","2228","0295262055","http://embossingtapesupplies.com.au/","","","1","1","","","","","151.114742","-34.029045",""
"72","Harry Daines Pty Ltd","175 Botnay Road","WATERLOO","2017","0296993977","http://www.harrydaines.com.au/","","","1","1","","","","","151.200990","-33.901183",""
"73","Interturbine Advanced Logistics","17 ASHTAN PLACE","BANYO","4014","0732925200","http://www.itlogistics.de","","","","","1","","","","153.092343","-27.380491",""
"74","J T  Dixon Pty Ltd","19 - 21 HOLMES STREET","GEELONG NORTH","3215","0352786644","http://www.jtdixon.com.au/","","","","","","","","1","144.349577","-38.108566",""
"75","Marine Plus Leisure","193 BAY ROAD","SANDRINGHAM","3191","0395216789","http://www.marineplus.com.au","","","","","","1","","","145.025673","-37.954344",""
"76","Marineware","UNIT C 23 GOLD COAST CITY MARINA 76-84 WATERWAY DRIVE","COOMERA","4209","0755028966","http://marineware.com.au/","","","","","","1","","","153.335985","-27.862659",""
"77","Marineware","68 BROADMEADOW ROAD","BROADMEADOW","2292","0249276855","http://marineware.com.au/","","","","","","1","","","151.732475","-32.917656",""
"78","Marineware","18B ROBERT STREET","ROZELLE","2039","0295557922","http://marineware.com.au/","","","","","","1","","","151.175904","-33.866179",""
"79","Mark Colin Packaging","1A LEEWOOD DRIVE","ORANGE","2800","0263606900","http://www.markcolin.com.au/","","","1","1","","","","","149.108186","-33.307764",""
"80","Mark Colin Packaging","28 NEWTON ROAD","WETHERILL PARK","2164","0296121800","http://www.markcolin.com.au/","","","1","1","","","","","150.882077","-33.847749",""
"81","Mark Colin Packaging","U4/33 PENDLEBURY RD","CARDIFF","2285","0249493600","http://www.markcolin.com.au/","","","1","1","","","","","151.654409","-32.945858",""
"82","Nuplex Composites","49-61 Stephen Road","Botany","2019","0296660331","http://www.nuplex.com/composites/","","","","","","1","","","151.209883","-33.951652",""
"83","Nuplex Composites","20 Production Street","Wacol","4076","0732713944","http://www.nuplex.com/composites/","","","","","","1","","","152.930354","-27.588191",""
"84","Nuplex Composites","16-18 Coulson Way","CANNING VALE","6155","0892658400","http://www.nuplex.com/composites/","","","","","","1","","","115.930074","-32.055539",""
"85","Nuplex Composites","1612 - 1638 CENTRE ROAD","SPRINGVALE","3171","0395505650","http://www.nuplex.com/composites/","","","","","","1","","","145.149267","-37.932321",""
"86","Paramount Paper Merchants","8 GREEVES ST","ST KILDA","3182","0395349031","http://www.paramountpackaging.com.au/","","","1","1","","","","","144.983672","-37.865005",""
"87","Rite Price Distributors","12 PRECISION DRIVE","MOLENDINAR","4214","0755745811","http://www.ritepricedistributors.com.au/","","","","","","1","","1","153.361949","-27.964880","YES"
"88","Sedl Agencies","388 SOUTH STREET","TOOWOOMBA","4350","0746177000","http://www.sedlagencies.com.au","1","1","1","1","","","","","151.925745","-27.574379","YES"
"89","Signet Pty Ltd","87-91 ARKWRIGHT DRIVE","DANDENONG SOUTH","3175","137446","http://www.signet.net.au/","","","1","1","","","","1","145.193604","-37.952247","YES"
"90","Signet Pty Ltd","BUILDING 3 6 INGLIS ROAD","INGLEBURN","2565","137446","http://www.signet.net.au/","","","1","1","","","","1","150.849331","-34.003673","YES"
"91","Signet Pty Ltd","56 INGLESTON ROAD","WAKERLEY","4154","137446","http://www.signet.net.au/","","","1","1","","","","1","153.147750","-27.479845","YES"
"92","Signet Pty Ltd","33 - 37 WEBB DRIVE","BOHLE","4818","137446","http://www.signet.net.au/","","","1","1","","","","1","146.734874","-19.258211","YES"
"93","Wayne Richardson Sales","5 LIBERTY ROAD","HUNTINGWOOD","2148","0298306200","http://www.wrsales.com.au","","1","1","1","1","","1","","150.871976","-33.795049",""
"94","Wayne Richardson Sales","52 ENTERPRISE DRIVE","BERESFIELD","2322","0249665455","http://www.wrsales.com.au","","1","1","1","1","","1","","151.642070","-32.807906",""
"95","Wayne Richardson Sales","1960 HUME HIGHWAY","CAMPBELLFIELD VIC","3061","0393570070","http://www.wrsales.com.au","","1","1","1","1","","1","","144.950781","-37.644761",""
"96","Wayne Richardson Sales","133 - 145 NEW DOOKIE ROAD","SHEPPARTON","3630","0358218323","http://www.wrsales.com.au","","1","1","1","1","","1","","145.430706","-36.364175",""
"97","Wayne Richardson Sales","GATE A 103 ASHOVER ROAD","ROCKLEA","4106","0738508600","http://www.wrsales.com.au","","1","1","1","1","","1","","153.005179","-27.564325",""
"98","Wayne Richardson Sales","1-3 WOOMERA AVE","EDINBURGH","5111","0881820500","http://www.wrsales.com.au","","1","1","1","1","","1","","138.639716","-34.740448",""
"99","Wayne Richardson Sales","UNIT 1, 36 SARICH COURT","OSBORNE PARK","6017","0894462411","http://www.wrsales.com.au","","1","1","1","1","","1","","115.810826","-31.897925",""
"100","McGrath Holden","GATE 2 MOOREBANK & HELLES AVE","MOOREBANK","2170","0296005014","http://www.ahg.com.au/nsw/mcgrath-liverpool","1","","","","","","","","150.924428","-33.936356",""
"101","Akzo Nobel Body Shop Services","1 / 269 WILLIAMSTOWN ROAD","PORT MELBOURNE","3207","1300130857","","1","","","","","","","","144.920693","-37.835452",""
"102","Alan Mance Motors Pty Ltd","435 BARKLY STREET","FOOTSCRAY","3011","0396874222","http://www.alanmance.com.au/","1","","","","","","","","144.885245","-37.798260",""
"103","Albury Auto Paints","331B TOWNSEND STREET","ALBURY","2640","0260211063","http://www.alburyautopaints.com/","1","","","","","","","","146.911019","-36.089164",""
"104","Alice Springs Paint Supplies","4 Crispe Street","Alice Springs","0870","0889523266","","1","","","","","","","","133.868174","-23.689403",""
"105","Amcap","13-39 PILBARA STREET","WELSHPOOL","6016","0893514716","http://www.amcap.com.au/index_amcap.aspx","1","","","","","","","","115.940883","-31.992015",""
"106","Auto Paint Supplies","UNIT 3A/145 GLADSTONE STREET","FYSHWICK","2609","0262806848","http://www.autopaintsupplies.com.au/","1","","","","","","","","149.183498","-35.324083",""
"107","Auto West Paint Supplies Pty Ltd","UNIT 9 / 61 REGENTVILLE ROAD","PENRITH","2750","0247213301","http://www.autowest.com.au/","1","","","","","","","","150.681922","-33.766933",""
"108","Auto West Paint Supplies Pty Ltd","18 Vale Street","Bathurst","2795","0263317888","http://www.autowest.com.au/","1","","","","","","","","149.579350","-33.434612",""
"109","Auto West Paint Supplies Pty Ltd","16 DUNTROON STREET","BRENDALE","4500","0738811611","http://www.autowest.com.au/","1","","","","","","","","152.984838","-27.321100",""
"110","Automotive Paint Supplies Pty Ltd","388 BARKLY STREET","BRUNSWICK","3056","0393806144","","1","","","","","","","","144.954276","-37.775626",""
"111","Bainbridge International Pty Ltd","273 HARBORD ROAD","BROOKVALE","2100","1800971149","","","","","","","1","","","151.281061","-33.759231",""
"112","BASF Australia Ltd","57 GOODWOOD ROAD","WAYVILLE","5034","08 8272 4766","http://www.basf.com.au/apex/ANZ/en/","1","","","","","","","","138.589778","-34.947117",""
"113","BASF Australia Ltd","UNIT 7 / 56 KEYS ROAD","MOORABBIN","3189","0392764226","http://www.basf.com.au/apex/ANZ/en/","1","","","","","","","","145.064761","-37.948350",""
"114","The Bayford Group","13a Corr St","MOORABBIN","3189","0395554749","http://bayfordford.com.au/","1","","","","","","","","145.069425","-37.940614",""
"115","The Bayford Group","1764 HUME HIGHWAY","CAMPBELLFIELD","3061","0392413094","http://bayfordford.com.au/","1","","","","","","","","144.950781","-37.644761",""
"116","Wholesale Paint Group","72 Pilkington Street","Townsville","4810","0747253082","http://www.cwp.com.au/","1","","","","","","","","146.767305","-19.273373",""
"117","Wholesale Paint Group","70 Connors Road","Mackay","4740","0749522655","http://www.cwp.com.au/","1","","","","","","","","149.159863","-21.174165",""
"118","Wholesale Paint Group","53 Lord Street","Gladstone","4680","0749724277","http://www.cwp.com.au/","1","","","","","","","","151.249442","-23.841221",""
"119","Wholesale Paint Group","80 AUMULLER ST","CAIRNS","4870","0740352000","http://www.cwp.com.au/","1","","","","","","","","145.768478","-16.940559",""
"120","Capital Auto Paints","18 ISA STREET","FYSHWICK","2609","0262807313","http://capitalautopaints.com.au/","1","","","","","","","","149.172379","-35.327035",""
"121","Car Care Products Australia","PTY LTD 4 HARRIS ROAD","FIVE DOCK","2046","1300006007","www.carcareproducts.com.au","1","","","","","","","","151.122358","-33.870750","YES"
"122","Care Distributors Pty Ltd","5 GRAHAM STREET","WINGFIELD","5013","08 83471355","http://www.caredistributors.com.au/","1","","","","","","","","138.557999","-34.849185",""
"123","Carlisle Motors Pty Ltd","36 GREGORY STREET","MACKAY","4740","0749570707","http://www.carlislemotors.com.au/","1","","","","","","","","149.184340","-21.142619",""
"124","Carlisle Motors Pty Ltd","UNIT 2, 14 WHITEHOUSE ST","GARBUTT","4814","0749570707","http://www.carlislemotors.com.au/","1","","","","","","","","146.754236","-19.270380",""
"125","Complete Carwash Supplies Pty Ltd","1/28A WILLIAMSON ROAD","INGLEBURN","2565","1300722435","http://www.completecarwashsupplies.com.au/","1","","","","","","","","150.858925","-33.990992","YES"
"126","Crash Supplies Pty Ltd","24D PRINCES HWY","DOVETON","3177","1300885404","http://www.crashsupplies.com.au/","1","","","","","","","","145.233286","-38.000513","YES"
"127","Crash Supplies Pty Ltd","59 Nith Street","Mildura","3501","0350232349","http://www.crashsupplies.com.au/","1","","","","","","","","142.167045","-34.192143","YES"
"128","Crash Supplies Pty Ltd","22-24 GEORGE STREET","STEPNEY","5069","1800188072","http://www.crashsupplies.com.au/","1","","","","","","","","138.626226","-34.914047","YES"
"129","Darwin Ship Stores","FRANCES BAY DRIVE (SHIPMARK)","DARWIN","0800","0889817322","","","","","","","1","","","130.841769","-12.462820",""
"130","Earles Paint Place","276 ADELAIDE STREET","MARYBOROUGH","4650","0741215202","http://www.earlepaints.com.au","1","","","","","","","","152.703070","-25.537128",""
"131","Earles Paint Place","54 YARROON STREET","GLADSTONE","4680","0749723277","http://www.earlepaints.com.au","1","","","","","","","","151.250408","-23.842332",""
"132","Earles Paint Place","202-204 HALY STREET","KINGAROY","4610","0741625011","http://www.earlepaints.com.au","1","","","","","","","","151.836765","-26.538518",""
"133","Earles Paint Place","48 TORQUAY RD","PIALBA","4655","0741246111","http://www.earlepaints.com.au","1","","","","","","","","152.844299","-25.283125",""
"134","Earles Paint Place","2/3349 PACIFIC HIGHWAY","SLACKS CREEK","4127","0741625011","http://www.earlepaints.com.au","1","","","","","","","","153.123928","-27.617718",""
"135","GDB Services Pty Ltd","18 - 28 GRAY ST UNIT 5A","KILKENNY","5009","0882440155","http://gdbservices.com.au","","","","","","1","","","138.553266","-34.872822",""
"136","Global Autocoat Pty Ltd","54-56 CNR JOHN & CHARLES ST","BENTLEY","6102","0893509466","http://www.globalautocoat.com.au","1","","","","","","","","115.923553","-31.997554",""
"137","Guard Distributors","1/33 Harris Road","Malanga","6090","0892424577","","1","","","","","","","","115.880691","-31.864574",""
"138","Hamilton Holden","SPARE PARTS DEPARTMENT 6 BOWKER STREET","SOMERTON PARK","5044","0870070276","http://www.hamiltonholden.com.au/","1","","","","","","","","138.521279","-34.996655",""
"139","Harts Automotive Paint Supplies","47 MOSS STREET","SLACKS CREEK","4127","0738083790","","1","","","","","","","","153.122090","-27.622565",""
